City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
218,Mount Gambier,-37.8333,140.7667,55.31,100,100,6.91,AU,2022-04-17 16:44:16
219,Westport,41.1415,-73.3579,51.04,39,0,23.02,US,2022-04-17 16:45:25
220,Gobabis,-22.45,18.9667,76.71,38,84,9.35,NA,2022-04-17 16:47:22
221,Kaitangata,-46.2817,169.8464,42.69,93,4,4.03,NZ,2022-04-17 16:47:22
222,Quelimane,-17.8786,36.8883,82.35,78,40,9.22,MZ,2022-04-17 16:47:23
223,Zyryanka,65.75,150.85,1.99,100,100,2.26,RU,2022-04-17 16:47:23
224,Prigen,-7.6833,112.6167,72.93,91,100,2.06,ID,2022-04-17 16:48:23
225,Soeng Sang,14.4264,102.4606,74.88,88,100,5.21,TH,2022-04-17 16:48:24
226,Najran,17.4924,44.1277,88.45,17,42,0.58,SA,2022-04-17 16:48:24
227,Tessalit,20.1986,1.0114,85.21,14,0,14.29,ML,2022-04-17 16:48:24
228,Hilo,19.7297,-155.09,74.28,100,100,5.75,US,2022-04-17 16:48:25
229,Adrar,20.5022,-10.0711,95.81,8,6,7.45,MR,2022-04-17 16:48:25
230,Yarmouth,41.7057,-70.2286,51.26,66,100,11.5,US,2022-04-17 16:48:25
231,Bara,10.3744,10.7288,89.8,43,80,12.53,NG,2022-04-17 16:48:26
232,Bedele,8.456,36.353,60.3,85,64,4.09,ET,2022-04-17 16:48:26
233,Solnechnyy,50.7214,136.6319,23.79,95,100,4.23,RU,2022-04-17 16:48:26
234,Magadan,59.5667,150.8,18.54,80,100,6.2,RU,2022-04-17 16:48:26
235,Khatanga,71.9667,102.5,9.55,95,99,11.54,RU,2022-04-17 16:48:27
236,Laguna,38.421,-121.4238,63.09,72,0,6.91,US,2022-04-17 16:45:30
237,Necochea,-38.5473,-58.7368,68.88,50,81,4.83,AR,2022-04-17 16:46:45
238,Ilulissat,69.2167,-51.1,17.62,73,75,5.75,GL,2022-04-17 16:44:14
239,Makakilo City,21.3469,-158.0858,72.68,73,0,11.5,US,2022-04-17 16:48:27
240,Pocatello,42.8713,-112.4455,40.86,46,40,20.71,US,2022-04-17 16:44:55
241,Totma,59.9747,42.7642,29.8,94,97,2.8,RU,2022-04-17 16:48:28
242,Port Hedland,-20.3167,118.5667,78.85,83,19,4.61,AU,2022-04-17 16:48:28
243,Oranjemund,-28.55,16.4333,63.59,64,0,10.74,NA,2022-04-17 16:48:28
244,Saint-Philippe,-21.3585,55.7679,78.39,90,37,13.02,RE,2022-04-17 16:48:29
245,Alta Floresta,-9.8756,-56.0861,75.97,94,96,3.85,BR,2022-04-17 16:48:29
246,Cidreira,-30.1811,-50.2056,70.07,59,84,8.77,BR,2022-04-17 16:48:29
247,Roma,43.2128,-75.4557,41.38,65,100,18.41,US,2022-04-17 16:48:30
248,Gambela,8.25,34.5833,82.04,58,79,2.98,ET,2022-04-17 16:48:30
249,Merauke,-8.4667,140.3333,80.02,82,94,4.09,ID,2022-04-17 16:48:30
250,Coahuayana,18.7333,-103.6833,87.49,50,99,6.24,MX,2022-04-17 16:45:14
251,Tsumeb,-19.2333,17.7167,74.77,54,89,9.82,NA,2022-04-17 16:48:31
252,Port Blair,11.6667,92.75,80.64,89,20,2.3,IN,2022-04-17 16:48:31
253,Maldonado,-34.6667,-54.9167,70.99,60,97,6.24,UY,2022-04-17 16:45:26
254,East London,-33.0153,27.9116,65.34,94,40,2.3,ZA,2022-04-17 16:48:31
